instnm,Longitude location of institution (HD2019),Latitude location of institution (HD2019),City location of institution (HD2019),Office of Postsecondary Education (OPE) ID Number (HD2019),
Cozmo Beauty School,-81.780821,26.330412,Bonita Springs,04135000  ,
Crafton Hills College,-117.101173,34.039178,Yucaipa,00927200  ,
Cranbrook Academy of Art,-83.250681,42.568904,Bloomfield Hills,00224800  ,
Crave Beauty Academy,-97.387374,37.684374,Wichita,02603100  ,
Craven Community College,-77.102232,35.111516,New Bern,00679900  ,
Crawford County Career and Technical Center Practical Nursing Program,-80.126167,41.633675,Meadville,01005500  ,
Creative Hair School of Cosmetology,-83.757927,42.980416,Flint,04055300  ,
Creative Images Institute of Cosmetology-North Dayton,-84.188407,39.855992,Dayton,03319300  ,
Creative Images Institute of Cosmetology-South Dayton,-84.174179,39.627019,Dayton,03319301  ,
Creative Touch Cosmetology School,-90.146194,38.335231,Waterloo,04225300  ,
Creighton University,-95.947811,41.265361,Omaha,00254200  ,
Crescent City Bartending School,-90.086679,29.966842,New Orleans,03010400  ,
Crevier's Academy of Cosmetology Arts,-114.319109,48.201201,Kalispell,04187700  ,
Criswell College,-96.776690,32.793513,Dallas,04121800  ,
Crowder College,-94.368315,36.814906,Neosho,00245900  ,
Crowley's Ridge College,-90.584395,36.064845,Paragould,00109500  ,
Crowley's Ridge Technical Institute,-90.767321,35.039816,Forrest City,00704400  ,
Crown College,-93.743019,44.885393,Saint Bonifacius,00238300  ,
CRU Institute of Cosmetology and Barbering,-118.030758,33.790145,Garden Grove,02494800  ,
CT Aero Tech School,-72.652599,41.735077,Hartford,02245300  ,
Cuesta College,-120.742235,35.331276,San Luis Obispo,00119200  ,
Culinary Institute Inc,-95.378633,29.823623,Houston,03723300  ,
Culinary Institute of America,-73.933231,41.745806,Hyde Park,00730400  ,
Culinary Tech Center,-73.999001,40.754060,New York,04234300  ,
Culpeper Cosmetology Training Center,-77.994727,38.471182,Culpeper,03876300  ,
Culver-Stockton College,-91.529374,40.128993,Canton,00246000  ,
Cumberland County College,-75.057829,39.440537,Vineland,00260100  ,
Cumberland University,-86.298782,36.204514,Lebanon,00348500  ,
CUNY Bernard M Baruch College,-73.983417,40.740238,New York,00727300  ,
CUNY Borough of Manhattan Community College,-74.011826,40.718790,New York,00269100  ,
CUNY Bronx Community College,-73.912043,40.858112,Bronx,00269200  ,
CUNY Brooklyn College,-73.949898,40.631517,Brooklyn,00268700  ,
CUNY City College,-73.948542,40.819846,New York,00268800  ,
CUNY Graduate School and University Center,-73.983822,40.748612,New York,00476500  ,
CUNY Hostos Community College,-73.926759,40.818120,Bronx,00861100  ,
CUNY Hunter College,-73.964795,40.768669,New York,00268900  ,
CUNY John Jay College of Criminal Justice,-73.988410,40.770351,New York,00269300  ,
CUNY Kingsborough Community College,-73.935812,40.577222,Brooklyn,00269400  ,
CUNY LaGuardia Community College,-73.935057,40.744500,Long Island City,01005100  ,
CUNY Lehman College,-73.895379,40.872962,Bronx,00702200  ,
CUNY Medgar Evers College,-73.957076,40.666256,Brooklyn,01009700  ,
CUNY New York City College of Technology,-73.987856,40.695483,Brooklyn,00269600  ,
CUNY Queens College,-73.816098,40.735182,Queens,00269000  ,
CUNY Queensborough Community College,-73.756656,40.755481,Bayside,00269700  ,
CUNY School of Law,-73.943621,40.747797,Long Island City,03191300  ,
CUNY Stella and Charles Guttman Community College,-73.984131,40.752810,New York,04210100  ,
CUNY System Office,-73.973639,40.750845,New York,02506100  ,
CUNY York College,-73.796313,40.701576,Jamaica,00475900  ,
Curry College,-71.116539,42.238061,Milton,00214300  ,
Curtis Institute of Music,-75.170727,39.948857,Philadelphia,00325100  ,
Curve Metric School of Hair Design,-87.818728,41.937678,Elmwood Park,04192000  ,
Cutting Edge Academy,-74.644718,40.868870,Succasunna,04260400  ,
Cuyahoga Community College District,-81.683533,41.494906,Cleveland,00304000  ,
Cuyahoga Valley Career Center,-81.625375,41.344555,Brecksville,02336700  ,
Cuyamaca College,-116.943507,32.744954,El Cajon,02111300  ,
CVPH Medical Center School of Radiologic Technology,-73.469597,44.699929,Plattsburgh,01161400  ,
CyberTex Institute of Technology,-97.703030,30.324403,Austin,04187800  ,
Cypress College,-118.025143,33.828330,Cypress,00119300  ,
D A Dorsey Technical College,-80.225732,25.839575,Miami,04164600  ,
D&S School of Cosmetology,-83.369697,42.639596,Waterford,04270900  ,
D'Jay's Institute of Cosmetology and Esthiology,-91.071568,30.462232,Baton Rouge,01163100  ,
D'Mart Institute,-66.292984,18.182694,Barranquitas,03070500  ,
D'Youville College,-78.890868,42.902636,Buffalo,00271200  ,
Dabney S Lancaster Community College,-79.852536,37.812275,Clifton Forge,00499600  ,
Daemen College,-78.788111,42.965605,Amherst,00280800  ,
Dakota College at Bottineau,-100.441103,48.832505,Bottineau,00299500  ,
Dakota County Technical College,-93.078050,44.737255,Rosemount,01040200  ,
Dakota State University,-97.113358,44.013014,Madison,00346300  ,
Dakota Wesleyan University,-98.031188,43.697432,Mitchell,00346100  ,
Dallas Baptist University,-96.947006,32.710017,Dallas,00356000  ,
Dallas Barber & Stylist College,-96.737009,32.909891,Dallas,03682400  ,
Dallas Christian College,-96.887117,32.913692,Dallas,00694100  ,
Dallas County Community College District,-96.794036,32.766319,Dallas,00933100  ,
Dallas Institute of Funeral Service,-96.683404,32.771368,Dallas,01076100  ,
Dallas Nursing Institute,-96.757210,32.979753,Richardson,03416500  ,
Dallas Theological Seminary,-96.780497,32.795361,Dallas,00356200  ,
Dalton Institute of Esthetics and Cosmetology,-84.970455,34.762636,Dalton,04242300  ,
Dalton State College,-85.002775,34.774221,Dalton,00395600  ,
Daniel Morgan Graduate School of National Security,-77.037434,38.903430,Washington,-2        ,
Danville Area Community College,-87.587884,40.127539,Danville,00166900  ,
Danville Community College,-79.408803,36.565286,Danville,00375800  ,
Daoist Traditions College of Chinese Medical Arts,-82.568537,35.606831,Asheville,04146400  ,
Dartmouth College,-72.289949,43.704115,Hanover,00257300  ,
Davenport University,-85.533519,42.850013,Grand Rapids,00224900  ,
David Pressley School of Cosmetology,-83.146008,42.479729,Royal Oak,01082700  ,
Davidson College,-80.843979,35.499767,Davidson,00291800  ,
Davidson County Community College,-80.181868,35.865471,Thomasville,00291900  ,
Davis & Elkins College,-79.846022,38.931232,Elkins,00381100  ,
Davis College,-83.629753,41.692513,Toledo,00485500  ,
Davis College,-75.967044,42.106010,Johnson City,02169100  ,
Davis Technical College,-111.925227,41.028956,Kaysville,02156600  ,
Dawn Career Institute LLC,-75.677768,39.668605,Newark,03025800  ,
Dawson Community College,-104.725485,47.085396,Glendive,00252900  ,
Dayton Barber College,-84.222996,39.628936,Miamisburg,03116200  ,
Dayton School of Medical Massage,-84.168901,39.682932,Dayton,04117300  ,
Daytona College,-81.080155,29.270088,Ormond Beach,03939600  ,
Daytona State College,-81.049685,29.203275,Daytona Beach,00147500  ,
DCI Career Institute,-80.314664,40.675819,Monaca,03072600  ,
De Anza College,-122.045558,37.320788,Cupertino,00448000  ,
Dean College,-71.397813,42.085634,Franklin,00214400  ,
Dean Institute of Technology,-80.015343,40.410325,Pittsburgh,00918600  ,
Debutantes School of Cosmetology and Nail Technology,-88.751471,41.930570,Dekalb,04229900  ,
Defiance College,-84.357075,41.296842,Defiance,00304100  ,
DeHart Technical School,-120.997781,37.713390,Modesto,04248200  ,
Del Mar College,-97.407620,27.763619,Corpus Christi,00356300  ,
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,-75.520079,42.585293,Norwich,03081600  ,
Delaware College of Art and Design,-75.549882,39.741947,Wilmington,04139800  ,
Delaware County Community College,-75.393080,39.966724,Media,00711000  ,
Delaware County Technical School-Practical Nursing Program,-75.367229,39.988428,Broomall,03128400  ,
Delaware Learning Institute of Cosmetology,-75.256051,38.541187,Dagsboro,03702300  ,
Delaware State University,-75.540530,39.187173,Dover,00142800  ,
Delaware Technical Community College-Central Office,-75.558200,39.201090,Dover,01172700  ,
Delaware Technical Community College-Terry,-75.560120,39.198371,Dover,01172700  ,
Delaware Valley University,-75.158452,40.298659,Doylestown,00325200  ,
Delgado Community College,-90.103962,29.985149,New Orleans,00462500  ,
Dell'Arte International School of Physical Theatre,-123.988808,40.880924,Blue Lake,03025600  ,
Delmarva Beauty Academy,-75.601701,38.339006,Salisbury,00744700  ,
Delta Beauty College,-91.036701,33.398819,Greenville,02249900  ,
Delta College,-83.985943,43.559491,University Center,00225100  ,
Delta College Inc,-90.086695,30.467468,Covington,03332600  ,
Delta College of Arts & Technology,-91.113841,30.463619,Baton Rouge,02538300  ,
Delta College of Arts & Technology-Lafayette Campus,-92.041847,30.158184,Lafayette,02538301  ,
Delta College-Slidell Campus,-89.780430,30.286052,Slidell,03332601  ,
Delta Designs Cosmetology School,-90.785831,35.232221,Wynne,04270100  ,
Delta State University,-90.735365,33.744745,Cleveland,00240300  ,
Delta Technical College,-89.999195,34.956265,Horn Lake,03368301  ,
Deluxe Barber College,-98.400819,29.554971,San Antonio,04283200  ,
Denham Springs Beauty School,-90.944774,30.484636,Denham Springs,02619200  ,
Denison University,-82.523272,40.071505,Granville,00304200  ,
Denmark College,-87.358172,41.469640,Merrillville,04100300  ,
Denmark Technical College,-81.123629,33.313355,Denmark,00536300  ,
Dental Assistant Pro LLC-Columbus,-82.932055,40.109752,Westerville,-2        ,
Dental Assistant Pro-Lebanon,-84.190385,39.445803,Lebanon,-2        ,
Denver College of Nursing,-104.994725,39.753030,Denver,04148300  ,
Denver Seminary,-105.022363,39.600595,Littleton,00135200  ,
DePaul University,-87.627240,41.877618,Chicago,00167100  ,
DePauw University,-86.860363,39.640904,Greencastle,00179200  ,
Derech Hachaim Seminary,-74.161936,41.337206,Monroe,04280500  ,
Dermal Science International Aesthetics and Nail Academy,-77.336748,38.949679,Reston,04238700  ,
Des Moines Area Community College,-93.611597,41.707348,Ankeny,00712000  ,
Des Moines University-Osteopathic Medical Center,-93.661686,41.583325,Des Moines,00185500  ,
DeSales University,-75.375608,40.539091,Center Valley,00398600  ,
Design Institute of San Diego,-117.167374,32.880926,San Diego,02298000  ,
Design's School of Cosmetology,-120.672526,35.648459,Paso Robles,03646300  ,
Designer Barber & Stylist School,-94.370331,35.359477,Ft Smith,04220000  ,
Detroit Business Institute-Downriver,-83.191212,42.168682,Riverview,03005700  ,
DeVry College of New York,-73.983492,40.747747,New York,01072795  ,
DeVry University-Administrative Office,-88.126334,41.799874,Naperville,02075400  ,
DeVry University-Arizona,-112.104601,33.565758,Phoenix,01072702  ,
DeVry University-California,-117.587600,34.068481,Ontario,01072706  ,
DeVry University-Colorado,-105.008901,39.919340,Westminster,01072709  ,
DeVry University-Florida,-80.339842,25.987643,Miramar,01072712  ,
DeVry University-Georgia,-84.297316,33.775112,Decatur,01072714  ,
DeVry University-Illinois,-87.691460,41.942190,Chicago,01072700  ,
DeVry University-Indiana,-87.326866,41.464405,Merrillville,01072733  ,
DeVry University-Missouri,-94.575014,38.939506,Kansas City,01072717  ,
DeVry University-Nevada,-115.096601,36.020266,Henderson,01072755  ,
DeVry University-New Jersey,-74.438606,40.466026,North Brunswick,01072718  ,
DeVry University-North Carolina,-80.931971,35.137660,Charlotte,01072751  ,
DeVry University-Ohio,-82.940506,39.940586,Columbus,01072720  ,
DeVry University-Pennsylvania,-75.183609,40.135214,Ft. Washington,01072722  ,
DeVry University-Tennessee,-86.694511,36.085370,Nashville,01072784  ,
DeVry University-Texas,-97.012494,32.934524,Irving,01072724  ,
DeVry University-Virginia,-77.050273,38.852326,Arlington,01072725  ,
Dewey University-Carolina,-65.958397,18.376596,Carolina,03112101  ,
Dewey University-Hato Rey,-66.043033,18.417614,Hato Rey,03112100  ,
Dewey University-Juana Díaz,-66.509285,18.057023,Juana Diaz,03112107  ,
Dewey University-Manati,-66.487333,18.433307,Manati,03112109  ,
Diablo Valley College,-122.073142,37.968516,Pleasant Hill,00119100  ,
Diamond Beauty College,-118.046711,34.062971,South El Monte,04195200  ,
Diamonds Cosmetology College,-96.606125,33.673442,Sherman,04169100  ,
Dickinson College,-77.197854,40.202796,Carlisle,00325300  ,
Dickinson State University,-102.799679,46.882917,Dickinson,00298900  ,
Diesel Driving Academy-Baton Rouge,-91.103287,30.465289,Baton Rouge,03030900  ,
Diesel Driving Academy-Shreveport,-93.794921,32.476170,Shreveport,02260200  ,
DigiPen Institute of Technology,-122.150603,47.688710,Redmond,03724300  ,
Digital Film Academy,-73.991082,40.760073,New York,04206200  ,
Digital Media Institute at InterTech,-93.771686,32.480613,Shreveport,04260500  ,
DiGrigoli School of Cosmetology,-72.630272,42.146311,West Springfield,04116900  ,
Dillard University,-90.064640,29.996587,New Orleans,00200400  ,
Diman Regional Technical Institute,-71.124742,41.699857,Fall River,00551900  ,
Dine College,-109.216840,36.293328,Tsaile,00824600  ,
Divers Academy International,-75.000877,39.747926,ERIAL,02154000  ,
Divers Institute of Technology,-122.340894,47.647402,Seattle,01148100  ,
Diversified Vocational College,-118.272364,34.056102,Los Angeles,02553600  ,
Divine Crown Barber & Beauty Academy,-76.825509,40.275050,Harrisburg,04226300  ,
Divine Mercy University,-77.437576,38.979728,Sterling,03872400  ,
Divine Word College,-90.934578,42.441721,Epworth,00185800  ,
Dixie State University,-113.565903,37.102769,Saint George,00367100  ,
Dixie Technical College,-113.591475,37.098418,Saint George,04121700  ,
DLP Conemaugh Memorial Medical Center,-78.918445,40.305445,Johnstown,00653700  ,
Doane University,-96.950932,40.622952,Crete,00254400  ,
Doane University-Graduate and Professional Studies,-96.650758,40.815541,Lincoln,00254401  ,
Dodge City Community College,-100.037481,37.776891,Dodge City,00191300  ,
Dolce LLC The Academy,-72.991263,41.540983,Waterbury,04249800  ,
Dominican College of Blauvelt,-73.950555,41.047419,Orangeburg,00271300  ,
Dominican School of Philosophy & Theology,-122.264612,37.881099,Berkeley,00129600  ,
Dominican University,-87.823003,41.902678,River Forest,00175000  ,
Dominican University of California,-122.512051,37.981279,San Rafael,00119600  ,
Don Roberts Beauty School,-87.077791,41.472714,Valparaiso,02158800  ,
Don Roberts School of Hair Design,-87.447089,41.485532,Schererville,02164300  ,
Dongguk University-Los Angeles,-118.289523,34.065970,Los Angeles,03109500  ,
Donnelly College,-94.650677,39.112256,Kansas City,00191400  ,
Dordt University,-96.166562,43.082527,Sioux Center,00185900  ,
Dorsey School of Business-Dearborn,-83.219356,42.330658,Detroit,00469210  ,
Dorsey School of Business-Madison Heights,-83.107631,42.525318,Madison Heights,00469202  ,
Dorsey School of Business-Roseville,-82.915541,42.527764,Roseville,00469204  ,
Dorsey School of Business-Roseville Culinary Academy,-82.915541,42.527764,Roseville,00469206  ,
Dorsey School of Business-Saginaw,-83.973056,43.470550,Saginaw,00469208  ,
Dorsey School of Business-Waterford Pontiac,-83.324631,42.643595,Pontiac,00469207  ,
Dorsey School of Business-Wayne,-83.382299,42.281710,Wayne,00469201  ,
Dorsey School of Business-Woodhaven,-83.224784,42.142547,Woodhaven,00469200  ,
Douglas Education Center,-79.888461,40.161519,Monessen,02068300  ,
Douglas J Aveda Institute,-84.480467,42.734606,East Lansing,02588200  ,
Downey Adult School,-118.115727,33.919650,Downey,00563800  ,
Dragon Rises College of Oriental Medicine,-82.312769,29.667368,Gainesville,03888300  ,
Drake University,-93.652163,41.601290,Des Moines,00186000  ,
Drew University,-74.424584,40.761829,Madison,00260300  ,
